"date","wave","wave.day","type","cases.stat"
2020-04-12,"Primera",42,"Spline (df=33)",946.692174049667
2020-04-12,"Primera",42,"Cambio en spline",0.0631758878959343
2020-04-12,"Primera",42,"Índice (día 1 = 100)",5179.23076923077
2020-04-13,"Primera",43,"Casos",1069
2020-04-13,"Primera",43,"Media móvil de 7 días",1027.42857142857
2020-04-13,"Primera",43,"Spline (df=33)",1004.412806023
2020-04-13,"Primera",43,"Cambio en spline",0.0609708557391163
2020-04-13,"Primera",43,"Índice (día 1 = 100)",5532.30769230769
2020-04-14,"Primera",44,"Casos",1017
2020-04-14,"Primera",44,"Media móvil de 7 días",1065.28571428571
2020-04-14,"Primera",44,"Spline (df=33)",1063.46034082277
2020-04-14,"Primera",44,"Cambio en spline",0.058788114255101
2020-04-14,"Primera",44,"Índice (día 1 = 100)",5736.15384615384
2020-04-15,"Primera",45,"Casos",1192
2020-04-15,"Primera",45,"Media móvil de 7 días",1150.42857142857
2020-04-15,"Primera",45,"Spline (df=33)",1123.69525835687
2020-04-15,"Primera",45,"Cambio en spline",0.0566404925711661
2020-04-15,"Primera",45,"Índice (día 1 = 100)",6194.61538461538
2020-04-16,"Primera",46,"Casos",1163
2020-04-16,"Primera",46,"Media móvil de 7 días",1206.14285714286
2020-04-16,"Primera",46,"Spline (df=33)",1184.97803853321
2020-04-16,"Primera",46,"Cambio en spline",0.054536832580347
2020-04-16,"Primera",46,"Índice (día 1 = 100)",6494.61538461538
2020-04-17,"Primera",47,"Casos",1339
2020-04-17,"Primera",47,"Media móvil de 7 días",1349.14285714286
2020-04-17,"Primera",47,"Spline (df=33)",1247.16916125968
2020-04-17,"Primera",47,"Cambio en spline",0.0524829327668022
2020-04-17,"Primera",47,"Índice (día 1 = 100)",7264.61538461538
2020-04-18,"Primera",48,"Casos",1405
2020-04-18,"Primera",48,"Media móvil de 7 días",1399.57142857143
2020-04-18,"Primera",48,"Spline (df=33)",1310.1291064442
2020-04-18,"Primera",48,"Cambio en spline",0.0504822819070693
2020-04-18,"Primera",48,"Índice (día 1 = 100)",7536.15384615385
2020-04-19,"Primera",49,"Casos",1258
2020-04-19,"Primera",49,"Media móvil de 7 días",1433
2020-04-19,"Primera",49,"Spline (df=33)",1373.71835399465
2020-04-19,"Primera",49,"Cambio en spline",0.0485366268390453
2020-04-19,"Primera",49,"Índice (día 1 = 100)",7716.15384615385
2020-04-20,"Primera",50,"Casos",2070
2020-04-20,"Primera",50,"Media móvil de 7 días",1477.57142857143
2020-04-20,"Primera",50,"Spline (df=33)",1437.82967826361
2020-04-20,"Primera",50,"Cambio en spline",0.0466699189703082
2020-04-20,"Primera",50,"Índice (día 1 = 100)",7956.15384615385
2020-04-21,"Primera",51,"Casos",1370
2020-04-21,"Primera",51,"Media móvil de 7 días",1535.71428571429
2020-04-21,"Primera",51,"Spline (df=33)",1502.48503138227
2020-04-21,"Primera",51,"Cambio en spline",0.0449673240830181
2020-04-21,"Primera",51,"Índice (día 1 = 100)",8269.23076923077
2020-04-22,"Primera",52,"Casos",1426
2020-04-22,"Primera",52,"Media móvil de 7 días",1593.28571428571
2020-04-22,"Primera",52,"Spline (df=33)",1567.7386599265
2020-04-22,"Primera",52,"Cambio en spline",0.0434304683116873
2020-04-22,"Primera",52,"Índice (día 1 = 100)",8579.23076923077
2020-04-23,"Primera",53,"Casos",1475
